Rank,Title,Information,Score,Sinopse
243,Medalist,"TV (13 eps),Jan 2025 - Mar 2025,88,232 members",8.38,"Tsukasa Akeuraji always dreamed of becoming a competitive solo figure skater, but starting too late in life meant his ambitions never got off the ground. Now barely scraping by, he takes on an assistant coach job, resigned to a future far from the one he once imagined. 
 
Before his first day, Tsukasa meets Inori Yuitsuka, a shy fifth grader sneaking into the rink to practice. Captivated by figure skating, but held back by her mother's overprotectiveness and her own self-doubt, Inori has never been encouraged to pursue her passion until she encounters Tsukasa. Beneath her personality lies great potential, waiting to be unlocked with the right guidance. 
 
Moved by Inori's determination to change and reminded of his own struggles, Tsukasa offers to coach and help her chase the dream she has been too afraid to voice. While the road ahead is long and filled with unfamiliar challenges and rival skaters, Inori dedicates herself to the art and strives to one day reach the Olympics and become a medalist.  
 
[Written by MAL Rewrite]"
242,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Movie (1 eps),Oct 2012 - Oct 2012,219,568 members",8.38,"Though Sayaka Miki's wish was fulfilled, the unforeseen consequences that came with it overwhelm her, causing her soul gem to become tainted as she succumbs to despair and eventually loses her humanity. Homura Akemi reveals to Kyouko Sakura and Madoka Kaname the ultimate fate of magical girls: once their soul gem becomes tainted, it transforms into a Grief Seed, and they are reborn as witches—a truth Homura learned only through repeating history countless times in a bid to prevent Madoka's tragedy. 
 
Kyuubey only compounds their despair when he confesses his true intentions: to harness the energy created from magical girls and use it to prolong the life of the universe. As the threat of Walpurgisnacht, a powerful witch, looms overhead, Homura once again vows to protect Madoka and the world from a grim fate.   
 
Caught between honoring Homura's wish and saving the world, which one will Madoka choose in the end? 
  is a story of inescapable destiny, and an unlikely hero who could change it all. 
 
[Written by MAL Rewrite]"
241,Mahou Shoujo Madoka★Magica,"TV (12 eps),Jan 2011 - Apr 2011,1,401,999 members",8.38,"Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student. 
 
Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems. 
 
A story of hope, despair, and friendship,   deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true. 
 
[Written by MAL Rewrite]"
240,Kaze ga Tsuyoku Fuiteiru,"TV (23 eps),Oct 2018 - Mar 2019,333,589 members",8.38,"Former ace runner of Sendai Josei High School, Kakeru Kurahara is chased away from a convenience store for shoplifting. Shaking off his pursuer, he runs into Haiji Kiyose, another student from his university. Haiji is impressed by Kakeru's agility and persuades him to live in Chikusei-sou, the run-down apartment where Haiji resides along with eight other students. Having lost his entire apartment deposit at a mahjong parlor, Kakeru accepts the offer reluctantly. 
 
However, Haiji reveals a secret during Kakeru's welcoming party: the apartment is actually the dormitory of the Kansei University Track Club. He unveils his ultimate goal of participating in the Hakone Ekiden—one of the most prominent university marathon relay races in Japan. Unfortunately, all the residents apart from Haiji and Kakeru are complete running novices. Worse still, none of the inhabitants are even remotely interested in being involved with Haiji's ridiculous plan! With only months before the deadline, will the fourth-year student be able to convince them otherwise and realize his elusive dream of running in the Hakone Ekiden? 
 
[Written by MAL Rewrite]"
239,Josee to Tora to Sakana-tachi,"Movie (1 eps),Dec 2020 - Dec 2020,523,974 members",8.38,"Equipped with his passion for diving and admiration for marine biology, university student Tsuneo Suzukawa tries his best to juggle several part-time jobs to earn enough money to study abroad. But one night, in a fateful accident, he meets a girl in a wheelchair, driving his current path into a detour. 
 
The girl, Kumiko—who prefers to be called ""Josee""—initially comes off as rude. Tsuneo, however, is then convinced by Josee's grandmother to take on the paid job to be Josee's caretaker. Despite being annoyed with her bossy demeanor, Tsuneo sees the opportunity to save more funds to support his academic dream. Nonetheless, after putting up with Josee's behavior for some time, Tsuneo tries to quit, only to discover Josee's dreams of traversing the outside world—to experience a life free from her crippling condition. 
 
Changing his mind, Tsuneo decides to accompany Josee in exploring the wonders that the world has to offer. Through their time together, the two begin to realize that the traits that bind them may be vital toward fulfilling their respective aspirations. 
 
[Written by MAL Rewrite]"
238,Gintama°: Aizome Kaori-hen,"OVA (2 eps),Aug 2016 - Nov 2016,92,728 members",8.38,"The red-light district, Yoshiwara, is suddenly taken over by ""Aizen Kou,"" an incense that has the ability to make anyone fall in love with the first person they see. Having been outlawed for its strong potency, the love drug was thought to have disappeared from the red-light district for good; however, it seems to have found its way back inside Yoshiwara's walls and now has the entire district under its influence. 
 
Of those affected is the cold-hearted Hyakka captain, Tsukuyo, and the first person she sees after inhaling the smoke is none other than the brazen Yorozuya leader, Gintoki Sakata. Unbeknownst to everyone else though, she was already attracted to Gintoki. With those hidden feelings now intensified, Tsukuyo must overcome her afflictions and work with the Yorozuya to return everyone back to normal.  
 
[Written by MAL Rewrite]"
237,Cowboy Bebop: Tengoku no Tobira,"Movie (1 eps),Sep 2001 - Sep 2001,409,721 members",8.38,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator. 
 
With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized. 
 
[Written by MAL Rewrite]"
236,Ramayana: The Legend of Prince Rama,"Movie (1 eps),Jan 1993 - Jan 1993,15,218 members",8.39,"Rama, the eldest prince of the Kingdom of Ayodhya, is beloved by all and the natural successor to his father's throne. However, when one of his father's wives conspires to get her son on the throne instead, Rama ends up being banished into the woods for 14 years. Accompanied by his wife, Sita, and his brother, Lakshman—Rama tries to make the most of life in exile despite his challenges. 
 
The trio's life in the forest is interrupted, however, when Demon King Ravan sets his sights on Sita. Using a crafty plan, he manages to distract Rama and steal Sita away to his castle. Heartbroken and distraught, Rama searches every corner of the world for his wife, unaware of the lengths he will have to go to rescue her. 
 
[Written by MAL Rewrite]"
235,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"TV (12 eps),Apr 2024 - Jul 2024,561,128 members",8.39,"Following the faceless god Hitogami's advice seems to have worked wonders for Rudeus Greyrat. After enrolling into the University of Magic as he was told, Rudeus reunites with his childhood friend Sylphiette, who put a valiant effort into curing his condition. The two grow ever closer together and decide to host a wedding party, inviting the friends they have made over the years to announce and formalize their relationship. 
 
For all his recent blessings, however, Rudeus' troubles are far from over. The research he is helping Shizuka Nanahoshi conduct hits a bottleneck, sending her into a deep slump much like he experienced in his previous life. Furthermore, a letter from his father, Paul, brings complications to Rudeus' relationships, and Sylphiette still knows next to nothing about his real background. In the face of these issues, Rudeus will have to apply the lessons he has learned in this new world to navigate through the challenges that come with living a life to its fullest. 
 
[Written by MAL Rewrite]"
300,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"TV (13 eps),Jul 2020 - Sep 2020,1,268,208 members",8.32,"A reunion that was supposed to spell the arrival of peaceful times is quickly shattered when Subaru Natsuki and Emilia return to Irlam village. Witnessing the devastation left behind by the calamities known as Sin Archbishops, Subaru sinks into the depths of despair as his ability to redo proves futile. 
 
As the group makes their way to the Sanctuary in search of answers, Subaru has an unexpected encounter with the Witch of Greed—Echidna. Subjected to her untamed rhythm, he is forced to dive into the spirals of the past and future. At the same time, several mysterious threats set their sights on the Sanctuary, heralding a horrific fate for the hapless people trapped within. 
 
Everlasting contracts, past sins, and unrequited love will clash and submerge into a river of blood in the second season of  . Pushed to the brink of hopelessness, how long will Subaru's resolve to save his loved ones last? 
 
[Written by MAL Rewrite]"
299,One Outs,"TV (25 eps),Oct 2008 - Apr 2009,256,022 members",8.32,"Toua Tokuchi is a prodigy when it comes to both baseball and gambling. Pitching nothing but mediocre fastballs, he has made a name for himself by attaining 499 consecutive victories in the game of One Outs: a one-on-one showdown between a pitcher and a batter. Despite his remarkable abilities, however, Tokuchi sees the sport as nothing more than a way to make some quick money. 
 
When Hiromichi Kojima, a legendary hitter for the struggling Saikyou Saitama Lycaons, witnesses Tokuchi's skills firsthand, he realizes that the man might be exactly what the team needs to get out of their slump. Determined to recruit Tokuchi no matter what, Kojima places his own career on the line and defeats Tokuchi at his own specialty—One Outs. 
 
Forced to become a Lycaon, Tokuchi soon finds himself at odds with the team's owner, Tsuneo Saikawa. After Saikawa refuses to give him a reasonable salary, Tokuchi proposes a special contract: pitching an out will earn him five million yen, but giving up a run will cost him fifty million. With every game having the potential to either make or break him, Tokuchi must outwit all who stand in his way. 
 
[Written by MAL Rewrite]"
298,NHK ni Youkoso!,"TV (24 eps),Jul 2006 - Dec 2006,829,403 members",8.32,"Twenty-two-year-old college dropout Tatsuhiro Satou has been a hikikomori for almost four years now. In his isolation, he has come to believe in many obscure conspiracy theories, but there is one in particular which he holds unshakable faith in: the theory that the evil conspirator behind his shut-in NEET (Not in Employment, Education or Training) status is the Nihon Hikikomori Kyokai (NHK)—an evil and secret organization dedicated to fostering the spread of hikikomori culture. 
 
  is a psychological dramedy that follows Tatsuhiro as he strives to escape from the NHK's wicked machinations and the disease of self-wrought isolation, while struggling to even just leave his apartment and find a job. His unexpected encounter with the mysterious Misaki Nakahara might signal a reversal of fortune for Tatsuhiro, but with this meeting comes the inevitable cost of having to face his greatest fear—society. 
 
[Written by MAL Rewrite]"
297,Major S6,"TV (25 eps),Apr 2010 - Sep 2010,67,263 members",8.32,"The intense Baseball World Cup has reached its conclusion. Gorou Honda has regained his passion for baseball and is once again back in full gear. He has secured a team position with the Hornets and has travelled back to America to prepare for his spectacular debut as a Major League pitcher. 
 
However, Gorou encounters a sudden series of unexpected issues and devastating events follow, crushing his motivation and potentially reducing the baseball career that he has worked tirelessly to maintain into crumbs. In the final season of  , Gorou must yet again overcome immense hardship in order to save his baseball career. This time there is no simple solution, as the problem is deeply rooted within his own mind... 
 
[Written by MAL Rewrite]"
296,Kiseijuu: Sei no Kakuritsu,"TV (24 eps),Oct 2014 - Mar 2015,2,029,976 members",8.32,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey. 
  
Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species. 
 
[Written by MAL Rewrite]"
295,Hunter x Hunter: Original Video Animation,"OVA (8 eps),Jan 2002 - Apr 2002,136,780 members",8.32,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro."
294,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,"Movie (12 eps),Sep 2022 - Nov 2022,18,714 members",8.32,"After Yang Wen-li successfully captures the Iserlohn Fortress, the Free Planets Alliance grows bolder in its militaristic ambitions. With recent incursions into Galactic Empire territory and the possession of a perfect beachhead, the Alliance is now able to deal significant damage to the Empire. However, Reinhard von Lohengramm has no intention of allowing the Free Planets Alliance to gain a foothold. He is adamant about carrying on his best friend Siegfried Kircheis' dearest wish: to be the one to unite the universe.  
 
As wide-scale military clashes continue, the opportunist Adrian Rubinsky, Fezzan's ambitious leader, attempts to take advantage of the war to further his personal goals. 
 
[Written by MAL Rewrite]"
293,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Movie (12 eps),Mar 2022 - May 2022,26,139 members",8.32,"As Yang is ordered to appear before the Free Planet Alliance, he’s shaken by the corruption he discovers. Meanwhile, Marshal Reinhardt uncovers disloyalty under his command as an upstart admiral launches a vicious offensive to retake the Iserlohn Fortress. Struggling to make strides in this never-ending bloody war, these two finally see their true enemy lies not from without—but from within! 
 
(Source: Crunchyroll)"
292,Fate/stay night: Unlimited Blade Works 2nd Season,"TV (13 eps),Apr 2015 - Jun 2015,917,514 members",8.32,"In the midst of the Fifth Holy Grail War, Caster sets her plans into motion, beginning with the capture of Shirou's Servant Saber. With the witch growing ever more powerful, Rin and Archer determine she is a threat that must be dealt with at once. But as the balance of power in the war begins to shift, the Master and Servant find themselves walking separate ways. 
 
Meanwhile, despite losing his Servant and stumbling from injuries, Shirou ignores Rin's warning to abandon the battle royale, forcing his way into the fight against Caster. Determined to show his resolve in his will to fight, Shirou's potential to become a protector of the people is put to the test. 
 
Amidst the bloodshed and chaos, the motivations of each Master and Servant are slowly revealed as they sacrifice everything in order to arise as the victor and claim the Holy Grail. 
 
[Written by MAL Rewrite]"
291,Bakemonogatari,"TV (15 eps),Jul 2009 - Jun 2010,1,485,410 members",8.32,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa. 
 
When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament. 
 
Through several tales involving demons and gods,   follows Araragi as he attempts to help those who suffer from supernatural maladies. 
 
[Written by MAL Rewrite]"
290,Psycho-Pass,"TV (22 eps),Oct 2012 - Mar 2013,1,742,415 members",8.33,"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental state for signs of criminal intent, known as their Psycho-Pass. Inspectors uphold the law by subjugating, often with lethal force, anyone harboring the slightest ill-will; alongside them are Enforcers, citizens that have become latent criminals, granted relative freedom in exchange for carrying out the Inspectors' dirty work. 
 
Into this world steps Akane Tsunemori, a young woman with an honest desire to uphold justice. However, as she works alongside veteran Enforcer Shinya Kougami, she soon learns that the Sibyl System's judgments are not as perfect as her fellow Inspectors assume. With everything she has known turned on its head, Akane wrestles with the question of what justice truly is, and whether it can be upheld through the use of a system that may already be corrupt. 
 
[Written by MAL Rewrite]"
289,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"OVA (1 eps),Feb 2014 - Feb 2014,86,835 members",8.33,"As the first delicate snowflake touches the cold ground, Nyanko-sensei dozes on his hot-water bottle next to Takashi Natsume. While his aunt prepares a warm dinner, Natsume takes a walk, welcoming the snow and the chilly weather. However, his peaceful promenade is disturbed by a white, fluffy snowman yokai with perturbing black eyes, searching for something warm and sparkly. With no further information, Natsume sets off to help find what the spirit desires. 
 
[Written by MAL Rewrite]"
288,Mushoku Tensei: Isekai Ittara Honki Dasu,"TV (11 eps),Jan 2021 - Mar 2021,1,556,953 members",8.33,"Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents. 
 
Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all expectations, honing his skill with the help of a mage named Roxy Migurdia. Rudeus learns swordplay from his father, Paul, and meets Sylphiette, a girl his age who quickly becomes his closest friend. 
 
As Rudeus' second chance at life begins, he tries to make the most of his new opportunity while conquering his traumatic past. And perhaps, one day, he may find the one thing he could not find in his old world—love. 
 
[Written by MAL Rewrite]"
287,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,"Movie (1 eps),Jun 2025 - Jun 2025,53,345 members",8.33,"Miss Kobayashi, Tohru, Kanna, and Iruru's peaceful lives are shattered when Kanna's father, Kamun Kamui, leader of the Chaos Forces, arrives and forces her to return to the Dragon World to fix a past mistake. With a war brewing between Chaos and Harmony, Kanna must find a way to unite the two worlds but is torn between her loyalty to her friends and her father's demands. Miss Kobayashi, however, refuses to let her go and tries to mend Kanna and Kamui's broken bond. As dragons clash, Iruru uncovers a hidden force manipulating the war. Can they stop the war before it consumes both worlds? 
 
(Source: Crunchyroll)"
286,Kidou Senshi Gundam: The Origin,"OVA (6 eps),Feb 2015 - May 2018,84,191 members",8.33,"In the year 0068 of the Universal Century, Casval Rem Deikun's life is thrown into chaotic disarray after the assassination of his father, a prolific figure in the crusade towards civil rights for people who live away from the Earth's surface. Casval and his sister Artesia receive aid from soldiers who were loyal to their father, and the siblings are whisked away from their home, separated, and thrown into a twisted fate that sees them come into their own as soldiers and adults. 
 
Years before stealing the name Char Aznable or his ""Red Comet"" moniker, Casval must contend with the rise of a militarized version of his father's ideology and his own vengeful nature as intergalactic war molds him into a legendary mobile suit pilot. 
 
[Written by MAL Rewrite]"
285,Bakuman. 2nd Season,"TV (25 eps),Oct 2011 - Mar 2012,371,162 members",8.33,"With the serialization of their new manga, ""Detective Trap,"" the writer-artist team, Akito Takagi and Moritaka Mashiro, better known by their pseudonym Muto Ashirogi, are one step closer to becoming world-renowned mangaka. For Mashiro, however, serialization is just the first step. Having promised to marry his childhood sweetheart and aspiring voice actress, Azuki Miho, once his manga gets an anime adaptation, Mashiro must continue his to popularize Ashirogi's work. A tremendously competitive cast of ambitious mangaka—including the wild genius, Eiji Niizuma; the elegant student, Yuriko Aoki, and her older admirer and partner, Takurou Nakai; the lazy prodigy, Kazuya Hiramaru; and the abrasive artist, Shinta Fukuda—both support and compete against Muto Ashirogi in creating the next big hit. 
 
As they adjust to their young and seemingly untested new editor, the dynamic duo struggle to maintain their current serialization, secure the top spot in Shounen Jack, and ultimately, achieve an anime adaptation of their manga. With new rivals and friends,   continues Takagi and Mashiro's inspiring story of hard work and young love. 
 
[Written by MAL Rewrite]"
350,Yuru Camp△,"TV (12 eps),Jan 2018 - Mar 2018,539,798 members",8.27,"While the perfect getaway for most girls her age might be a fancy vacation with their loved ones, Rin Shima's ideal way of spending her days off is camping alone at the base of Mount Fuji. From pitching her tent to gathering firewood, she has always done everything by herself, and has no plans of leaving her little solitary world. 
 
However, what starts off as one of Rin's usual camping sessions somehow ends up as a surprise get-together for two when the lost Nadeshiko Kagamihara is forced to take refuge at her campsite. Originally intending to see the picturesque view of Mount Fuji for herself, Nadeshiko's plans are disrupted when she ends up falling asleep partway to her destination. Alone and with no other choice, she seeks help from the only other person nearby. Despite their hasty introductions, the two girls nevertheless enjoy the chilly night together, eating ramen and conversing while the campfire keeps them warm. And even after Nadeshiko's sister finally picks her up later that night, both girls silently ponder the possibility of another camping trip together. 
 
[Written by MAL Rewrite]"
349,Wu Liuqi: Jiyi Suipian,"ONA (10 eps),Oct 2024 - Nov 2024,18,580 members",8.27,"In order to find his cherished partner, Wu Liuqi returns to Xuanwu Country and faces those forgotten fragments of memory. The dusty truth brings pain and anger, but now he is no longer alone. What is the purpose of having power? This time, Wu Liuqi has to make a new choice for his life... 
 
(Source: Official Site)"
348,Tenki no Ko,"Movie (1 eps),Jul 2019 - Jul 2019,1,121,795 members",8.27,"Tokyo is currently experiencing rain showers that seem to disrupt the usual pace of everyone living there to no end. Amidst this seemingly eternal downpour arrives the runaway high school student Hodaka Morishima, who struggles to financially support himself—ending up with a job at a small-time publisher. At the same time, the orphaned Hina Amano also strives to find work to sustain herself and her younger brother. 
 
Both fates intertwine when Hodaka attempts to rescue Hina from shady men, deciding to run away together. Subsequently, Hodaka discovers that Hina has a strange yet astounding power: the ability to call out the sun whenever she prays for it. With Tokyo's unusual weather in mind, Hodaka sees the potential of this ability. He suggests that Hina should become a ""sunshine girl""—someone who will clear the sky for people when they need it the most. 
 
Things begin looking up for them at first. However, it is common knowledge that power always comes with a hefty price... 
 
[Written by MAL Rewrite]"
347,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"TV Special (1 eps),Dec 2015 - Dec 2015,288,161 members",8.27,"Having reached his emotional breaking point, Rintarou Okabe refuses to continue aiding time traveler Suzuha Amane in her mission to prevent World War III, believing any further efforts to save Makise Kurisu will be in vain. Shortly after, Okabe abandons his mad scientist persona and becomes a seemingly regular university student.  
 
Okabe's close friend Mayuri Shiina perceives him to be recovering from his trauma and is visibly happy. However, something still seems to be bothering Okabe.   marks the beginning of a critical divergence—a timeline in which the burden of fate escalates beyond one's limits. 
 
[Written by MAL Rewrite]"
